abstracts	labels
lab disinfectant harms mouse fertility . patricia hunt interviewed by brendan maher .	0
the effect of three polishing systems on the surface roughness of four hybrid composites : a profilometric and scanning electron microscopy study .. a highly polished composite restoration is necessary to help promote a plaque - free environment . in this study the polishability of four hybrid composites ( pertac , aph , herculite , and z100 ) was compared after finishing and polishing with the caulk enhance polishing kit , kerr composite finishing kit , and the espe mfs / mps polishing kit . profilometric evaluation revealed that the mfs / mps polishing system gave a superior polish for z100 , herculite , and pertac ; the enhance polishing system demonstrated the poorest polish with all four composites tested . there were no significant differences among the four composites when polished with each of the three polishing systems .	0
bond strength of a light - cured and two auto - cured glass ionomer liners .. ninety - nine extracted human molar teeth were used in this study comparing the shear bond strengths on dentine of one light - cured and two auto - cured polyalkenoate ( glass ionomer ) cements . bond strength can be influenced by differences in tooth structure . a balanced - incomplete block design ( hull and nie , 1981 ) was used to reduce variation attributable to such differences . cements were applied to paired dentine surfaces in combinations such that 66 tooth sides were treated with each material . a light - cured dentinal adhesive and composite resin restorative material were then placed and shear bond strength testing was conducted exactly 24 h after the completion of each specimen . mean forces ( mpa ) for the three materials were compared using an appropriate analysis of variance model ( balanced - incomplete - blocks ) the shear bond strengths ( mpa ) of the light - cured liner ( espe , seefeld / oberbay , frg ) was 4 . 71 +/- 1 . 16 . vitrabond showed the greatest variance of all three materials tested , however this material ' s average bond strength was greater than the maximum achieved for the other materials . student - newman - keuls comparison of means showed that all cements differed significantly from each other ( alpha = 0 . 05 ). it is concluded that the light - cured glass ionomer liner exhibited significantly better shear bond strength performance than the two auto - cured glass ionomers tested .	0
organic diagenesis in sediment and its impact on the adsorption of bisphenol a and nonylphenol onto marine sediment .. hydrophobic organic contaminants in marine water are mostly adsorbed onto ( partitioned into ) sediment organic matter ( som ). to study the impact of som diagenesis on sediment adsorption properties , artificial sediment with rich som content was incubated for more than 120 days . the sediment was sampled every week , and batch sediment adsorption tests were conducted with bisphenol a ( bpa ) and nonylphenol ( np ) as the model pollutants . the results show that the amount of organic matter loaded in the sediment decreased by nearly 80 % during incubation . for the incubated sediment , the bpa partition coefficient , kd , decreased whereas the organic normalized partition coefficient , koc , more than doubled . the experiments with np show an even greater increase in koc . organic matter diagenesis shows a profound effect on the adsorption behavior of sediment , as the som residue has an increasing affinity and partition capacity for organic contaminants .	0
"""shear bond strengths of one - bottle adhesives to oil - contaminated enamel .. purpose : to evaluate resin bond strength to enamel contaminated with handpiece oil . materials and methods : bovine teeth were randomly assigned to six groups of 20 teeth each for treatment with one of six different bonding systems ( five one - bottle and one multibottle ). for each system , 10 enamel specimens were contaminated with handpiece oil before acid - etching and 10 were contaminated after acid - etching . the enamel was etched for 15 seconds using 35 % phosphoric acid . following adhesive application , composite resin was bonded using a gelatin capsule technique . shear bond strengths from the two contaminated groups were compared to bond strengths to uncontaminated enamel obtained from a previous study that was performed by the same group of investigators , using the same facility , materials , and methods . results : two - way analysis of variance ( anova ) showed that the factor """" surface contamination """" did not have a significant effect on bond strength ( p > . 542 ). the type of adhesive and the interaction of adhesive and surface contamination were significant ( p < . 0001 and p < . 003 , respectively ). when oil was applied before etching , mean bond strengths ranged from 18 . 0 +/- 4 . 8 mpa for optibond solo ( kerr corp ., orange , california ) to 25 . 3 +/- 5 . 6 mpa for tenure quik with fluoride ( den - mat corp ., santa maria , california ). with oil applied after etching , bond strengths ranged from 18 . 4 +/- 8 . 0 mpa for tenure quik with fluoride to 27 . 4 +/- 5 . 4 mpa for single bond ( 3m dental products , st . paul , minnesota ). for the same adhesive , comparing uncontaminated and """" oil - before - etch """" contaminated groups , the only statistically significant difference in bond strengths was for optibond solo : 21 . 8 +/- 4 . 0 mpa ( uncontaminated ) versus 18 . 0 +/- 4 . 8 mpa ( oil before etch ). comparing uncontaminated and """" oil - after - etch """" groups , the only statistically significant difference was for tenure : 24 . 5 +/- 5 . 7 mpa ( uncontaminated ) and 18 . 4 +/- 8 . 0 mpa ( oil after etch )."""	0
development of an adhesive system for bonding to hard tooth tissues .. the development of an adhesion system for bonding dental composites to dentin and enamel is reviewed . building on findings concerning adhesion to enamel , a field pioneered by dr . michael buonocore and others , dr . r . l . bowen and his colleagues at the paffenbarger research center , national institute of standards and technology , began addressing and solving problems associated with ( 1 ) silicate cements and unfilled resins , ( 2 ) bonding in an aqueous environment , and ( 3 ) the development of an adhesion system for both dentin and enamel that could withstand various stresses . although commercial products based on this adhesion system are currently available in the dental materials marketplace , experimentation continues , focusing on the synthesis of potentially better component analogs , the optimization of the individual components , and on improved storage stability and ease of synthesis .	0
antibacterial activity of different generation dentin - bonding systems .. objectives : the aim of this in vitro study was to investigate the antibacterial activities of different generation dentin - bonding systems . method and materials : the antibacterial activities of dentin - bonding systems optibond fl primer , single bond , clearfil se bond primer , and prompt - l - pop were evaluated against streptococcus mutans , streptococcus salivarius , lactobacillus casei , and lactobacillus acidophilus . cervitec ( 1 % chlorhexidine varnish ) was also examined as a positive control material . disk diffusion tests with filter paper disks ( n = 10 ) containing a drop of each material ( 20 microl ) were used . after incubation at 37 degrees c for 48 hours , the growth inhibition zones were measured in millimeters . results : of all the materials tested , optibond fl primer , clearfil se bond primer , and prompt - lpop showed larger growth inhibition zones than the control material for all bacterial strains . no antibacterial effect was noted for single bond . the results indicated that optibond fl primer had the strongest effect against the s mutans and l casei , and clearfil se bond primer produced the largest inhibition zone for s salivarius and l acidophilus among the test materials . conclusion : the antibacterial effects observed for the tested different generation dentin - bonding systems may be related to the acidic nature of the materials .	0
effects of chemical cross - linkers on caries - affected dentin bonding .. the achievement of a strong and stable bond between composite resin and dentin remains a challenge in restorative dentistry . over the past two decades , dental materials have been substantially improved , with better handling and bonding characteristics . however , little attention has been paid to the contribution of collagen structure / stability to bond strength . we hypothesized that the induction of cross - linking in dentin collagen improves dentin collagen stability and bond strength . this study investigated the effects of glutaraldehyde - and grape seed extract - induced cross - linking on the dentin bond strengths of sound and caries - affected dentin , and on the stability of dentin collagen . our results demonstrated that the application of chemical cross - linking agents to etched dentin prior to bonding procedures significantly enhanced the dentin bond strengths of caries - affected and sound dentin . glutaraldehyde and grape seed extract significantly increased dentin collagen stability in sound and caries - affected dentin , likely via distinct mechanisms .	0
bisphenol a exposure disrupts genomic imprinting in the mouse .. exposure to endocrine disruptors is associated with developmental defects . one compound of concern , to which humans are widely exposed , is bisphenol a ( bpa ). in model organisms , bpa exposure is linked to metabolic disorders , infertility , cancer , and behavior anomalies . recently , bpa exposure has been linked to dna methylation changes , indicating that epigenetic mechanisms may be relevant . we investigated effects of exposure on genomic imprinting in the mouse as imprinted genes are regulated by differential dna methylation and aberrant imprinting disrupts fetal , placental , and postnatal development . through allele - specific and quantitative real - time pcr analysis , we demonstrated that maternal bpa exposure during late stages of oocyte development and early stages of embryonic development significantly disrupted imprinted gene expression in embryonic day ( e ) 9 . 5 and 12 . 5 embryos and placentas . the affected genes included snrpn , ube3a , igf2 , kcnq1ot1 , cdkn1c , and ascl2 ; mutations and aberrant regulation of these genes are associated with imprinting disorders in humans . furthermore , the majority of affected genes were expressed abnormally in the placenta . dna methylation studies showed that bpa exposure significantly altered the methylation levels of differentially methylated regions ( dmrs ) including the snrpn imprinting control region ( icr ) and igf2 dmr1 . moreover , exposure significantly reduced genome - wide methylation levels in the placenta , but not the embryo . histological and immunohistochemical examinations revealed that these epigenetic defects were associated with abnormal placental development . in contrast to this early exposure paradigm , exposure outside of the epigenetic reprogramming window did not cause significant imprinting perturbations . our data suggest that early exposure to common environmental compounds has the potential to disrupt fetal and postnatal health through epigenetic changes in the embryo and abnormal development of the placenta .	0
gene expression of ribosomal protein mrna in chironomus riparius : effects of endocrine disruptor chemicals and antibiotics .. ribosomal protein genes are essential for cellular development . to examine the effects of ribosomal protein genes under various cellular stress conditions in chironomids , ribosomal protein s3 ( rps3 ) and s6 ( rps6 ) cdna from chironomus riparius were characterized and their expression was analyzed during development . a comparative and phylogenetic study among different orders of insects was carried out by analysis of sequence databases . c . riparius rps3 was highly conserved at the protein level and shared over 85 % amino acid identity with homologous sequences from other insects . rps6 also showed approximately 80 % amino acid identity . the rps3 and s6 transcripts were present during different developmental stages but were most abundant during the embryonic stage . furthermore , expression of the previously reported ribosomal proteins rpl11 , l13 , and l15 , as well as rps3 and s6 was analyzed following exposure to various concentrations of three endocrine disruptor chemicals ( edcs ), di ( 2 - ethylhexyl ) phthalate , bisphenol a , and 4 - nonylphenol ( 4np ), and the veterinary antibiotics ( vas ) fenbendazole , sulfathiazole , and lincomycin . only rps3 gene expression was up - regulated significantly in response to edcs and fenbendazole . however , the c . riparius ribosomal proteins showed a limited response to cellular stress , following exposure to edcs and vas .	0
bisphenol a from dental polycarbonate crown upregulates the expression of htert .. bisphenol a ( bpa ) is one of the endocrine - disrupting chemicals ( edcs ) that possess estrogen - like biologic activity . many dental materials have been reported to release bpa . however , there are few reports available on the release of bpa from dental polycarbonates . the purpose of this study was to investigate the release of bpa from dental polycarbonate crowns and to evaluate the estrogenic activity of bpa . polycarbonate crowns were immersed in five solvents ( water , ethanol , n - hepthane , acetic acid , and acetonitrile ) at 37 or 65 degrees c for 24 h . the elution from the material was analyzed by high - performance liquid - chromatography ( hplc ) and mass - spectrometry ( ms ) analysis . bpa release was detected corresponding to the degradation of dental polycarbonates under the some storage conditions ( ethanol , acetic acid , and acetonitrile ). a previous report proved that estrogen increased human telomerase catalytic subunit ( htert ) mrna , whereas the effect of edcs on the htert promoter has never been reported . the estrogenic activity of bpa was analyzed by luciferase assay with the use of the htert promoter . this assay revealed that bpa was a positive regulator of htert transcription . in addition , quantitative real - time pcr analysis showed that bpa increased the expression level of htert mrna in mcf7 cells . herein , it is demonstrated that htert is a new target of bpa .	0
temporary crowns -- want better results ?	0
quick technique for provisional bridge fabrication .	0
in vitro comparison of mechanical properties and degree of cure of a self - adhesive and four novel flowable composites .. purpose : to compare a self - adhesive with two low - shrinkage and two regular flowable resin - based composites ( rbcs ) in terms of degree of conversion ( dc ) as well as micromechanical ( indentation modulus [ e ]; vickers hardness [ hv ]) and macromechanical properties ( flexural strength [ σ ], modulus of elasticity [ eflexural ]). materials and methods : dc was investigated by an atr - ftir spectrometer at clinically relevant filling depths ( 0 . 1 mm , 2 mm , 4 mm , 6 mm bulk , 6 mm incremental ) and irradiation times ( 10 s , 20 s , 40 s ). micro - and macromechanical properties were measured with an automatic microhardness indenter and a three - point bending test device after curing the specimens for 20 s and storing them in distilled water for 24 h at 37 ° c . fillers were visualized using a field emission scanning electron microscope ( fe - sem ). results were evaluated using one - way anova , tukey ' s hsd post - hoc test , pearson ' s correlation and a multivariate analysis ( α = 0 . 05 ). a weibull analysis was used to assess σ . results : n ' durance dimer flow ( 65 . 66 %) reached the highest dc ( at 2 mm depth , 20 s irradiation ). in terms of macromechanical properties , ecusphere - flow ( 129 . 82 mpa ) for σ and synergy d6 flow ( 3 . 74 gpa ) for eflexural reached the highest values . the highest micromechanical properties were measured for the self - adhesive rbc ( vertise flow ; e = 10 . 81 gpa , hv = 60 . 20 n / mm2 ). reliability was highly influenced by filler weight ( η2 = 0 . 77 ) and volume ( η2 = 0 . 99 ) proportion . conclusion : in the present study , the self - adhesive rbc showed the highest reliability , highest dc ( together with one of the low - shrinkage rbcs ), and highest micromechanical properties as well as good macromechanical properties . moreover , a curing time of 40 s and an incremental thickness not exceeding 2 mm appeared to be necessary for such results .	0
effect of polyacrylic acid on the interface and bond strength of self - adhesive resin cements to dentin .. purpose : to examine the influence of 11 . 5 % polyacrylic acid pretreatment on the interface and bond strength of self - adhesive resin cements ( maxcem elite , relyx unicem , set ) to dentin . materials and methods : fifty - six third molars were randomly divided into seven groups : relyx arc as control ( arc ), relyx unicem ( rlxu ), maxcem elite ( mce ), set ( st ), polyacrylic acid + relyx unicem ( rlxu - p ), polyacrylic acid + maxcem elite ( mce - p ), and polyacrylic acid + set ( st - p ). resin composite blocks were luted to flat dentin . after storage in distilled water for 24 h , sticks with a cross - sectional area of ca 0 . 80 mm2 were obtained ( n = 24 per group ) and submitted to a microtensile bond strength ( µtbs ) test in a universal testing machine at a crosshead speed of 0 . 5 mm / min . two sets from each group were sectioned mesiodistally in the center of the crown and observed with a scanning electron microscope at 4000x magnification . results : the mean results of the µtbs test ( mpa ) followed by the same letter do not differ statistically significantly according to anova and tukey ' s post - hoc test ( p < 0 . 05 ): arc = 24 . 19 (± 6 . 90 ) a , rlxu - p = 23 . 12 (± 6 . 18 ) a , mce - p = 13 . 09 (± 5 . 87 ) b , rlxu = 10 . 23 (± 2 . 88 ) b , c , and mce = 8 . 14 (± 4 . 63 ) c . all set specimens failed during the cutting procedure . the hybrid layer was not observed for the self - adhesive resin cements , and resin tags were observed for relyx unicem and maxem elite when dentin was pretreated with polyacrylic acid . conclusion : pretreatment with 11 . 5 % polyacrylic acid was effective for bonding relyx unicem and maxcem elite to dentin .	0
dispersive liquid - liquid microextraction versus single - drop microextraction for the determination of several endocrine - disrupting phenols from seawaters .. two liquid - phase microextraction procedures : single - drop microextraction ( sdme ) and dispersive liquid - liquid microextraction ( dllme ), have been developed for the determination of several endocrine - disrupting phenols ( edps ) in seawaters , in combination with high - performance liquid chromatography ( hplc ) with uv detection . the edps studied were bisphenol - a , 4 - cumylphenol , 4 - tertbutylphenol , 4 - octylphenol and 4 - n - nonylphenol . the optimized sdme method used 2 . 5 microl of decanol suspended at the tip of a micro - syringe immersed in 5 ml of seawater sample , and 60 min for the extraction time . the performance of the sdme is characterized for average relative recoveries of 102 +/- 11 %, precision values ( rsd )< 9 . 4 % ( spiked level of 50 ng ml (- 1 )), and detection limits between 4 and 9 ng ml (- 1 ). the optimized dllme method used 150 microl of a mixture acetonitrile : decanol ( ratio 15 . 7 , v / v ), which is quickly added to 5 ml of seawater sample , then subjected to vortex during 4 min and centrifuged at 2000 rpm for another 5 min . the performance of the dllme is characterized for average relative recoveries of 98 . 7 +/- 3 . 7 %, precision values ( rsd )< 7 . 2 % ( spiked level of 20 ng ml (- 1 )), and detection limits between 0 . 2 and 1 . 6 ng ml (- 1 ). the efficiencies of both methods have also been compared with spiked real seawater samples . the dllme method has shown to be a more efficient approach for the determination of edps in seawater matrices , presenting enrichment factors ranging from 123 to 275 , average relative recoveries of 110 +/- 11 %, and precision values ( rsd )< 14 %, when using a real seawaters ( spiked level of 3 . 5 ng ml (- 1 )).	0
two - body wear of dental composites under different loads .. purpose : although dental composites are excellent for restoring the appearance of natural tooth tissues , their relatively poor resistance to wear , especially in approximal and occlusal contact areas , is still a major source of concern . the aim of this research was to study a basic wear mechanism , under 2 - body wear conditions , that may be integrated into our understanding of the in vitro and in vivo wear behavior of dental composites . materials and methods : an in vitro 2 - body wear test was conducted on 2 selected ultrafine compact - filled dental composites under different magnitudes of sinusoidal cyclic load . the wear surfaces and cross sections of the wear layers were assessed using scanning electron microscopy ( sem ) to explore the nature of the wear pattern of the dental composites under cyclic loading conditions . results : the wear losses of both composites increased with load . sem analysis of wear surfaces and subsurface sections indicated that the composites tested displayed different wear mechanisms from low to high loads . an explanation for the wear pattern is proposed based on the observed wear behavior . conclusion : the in vitro wear pattern of the ultrafine compact - filled dental composites tested is closely related to the applied load . although the wear loss increased in a roughly linear relationship with applied load , the underlying wear mechanism involved may experience a significant change from low to high load conditions during wear .	0
hemodialysis and toxins : is there a risk ?	0
bisphenol a . ( 4 , 4 '- isopropylidenediphenol ; 2 , 2 - bis ( 4 - hydroxypehnyl ) propane ).	0
separation and on - line concentration of bisphenol a and alkylphenols by micellar electrokinetic chromatography with cationic surfactant .. the separation and on - line concentration of bisphenol a and three alkylphenols were investigated by micellar electrokinetic chromatography with cationic surfactant . tetradecyltrimethylammonium bromide was used as surfactant and the separation conditions were optimized by the addition of the organic solvents and cyclodextrins to the running solution . the separation of hydrophobic analytes and 4 - nonylphenol isomers was improved by the addition of 20 % acetonitrile and 20 mm beta - cyclodextrin to the running solution . when the sweeping with the running solution used as the on - line concentration procedure , 56 -, 67 - and 29 - fold increase in detection sensitivity of bisphenol a , 4 - tert .- butylphenol and 4 -( 1 , 1 , 3 , 3 - tetramethylbutyl ) phenol , respectively . the detection limits were 0 . 030 , 0 . 098 and 0 . 159 mg / l , respectively .	0
bond strength : a comparison between chemical coated and mechanical interlock bases of ceramic and metal brackets .. two types of chemically coated bases , two types of mechanical interlock base polycrystalline ceramic brackets , as well as one type of mechanical interlock base metal bracket were selected for bonding with concise orthodontic resin on 60 extracted premolars . bond strength was measured with an instron testing machine and the debonded interface and enamel detachment were examined with scanning electron microscope and energy dispersive x - ray spectrometer . the results showed the greater bond strength with a chemically coated base of ceramic brackets had a greater debonded interface between enamel and resin , and the weaker bond strength of mechanical interlock base of ceramic and metal brackets had a greater debonded interfaces between bracket and resin . there was no significant statistical difference in bond strengths with mechanically interlock bases between ceramic and metal brackets . the enamel detachment was found on only the stronger bond strength in which there was a chemically coated base on the ceramic bracket . ceramic bracket fractures were not found during debonding in this specially designed specimen with 1 mm / min speed of crosshead . the mechanical interlock base of the ceramic bracket combines the strength , durability and retention of a metal bracket along with an aesthetic advantage and no enamel detachment after debonding .	0
biodegradable hydrogels obtained by photocrosslinking of dextran and polyaspartamide derivatives .. the functionalization of dextran with glycidyl methacrylate ( gma ) leads to the formation of a derivative that generates hydrogels for irradiation at 365nm . the effects of various polymer concentrations and irradiation times on the yield and the properties of the obtained hydrogels are reported . the networks have been characterized by ft - ir spectra , dimensional analysis and swelling measurements carried out at different ph values . in vitro studies suggest that all samples undergo a partial chemical hydrolysis , whereas the incubation with dextranases causes a total degradation whose rate depends on the degree of crosslinking . in addition , aqueous solutions of functionalized dextran have been irradiated in the presence of phg ( phea - gma ), i . e . the copolymer obtained by the reaction of alpha , beta - poly ( n - 2 - hydroxyethyl )- dl - aspartamide ( phea ) with gma . the crosslinking reaction leads to the formation of new networks containing both polymers whose properties have been investigated . to evaluate the processes which occur during uv irradiation , the sol fractions have been purified and characterized by ft - ir and 1h - nmr analyses . finally , the suitability of hydrogels deriving from functionalized dextran , crosslinked alone or in the presence of phg , for drug delivery systems has been investigated choosing theophylline as a model drug .	0
